"ensembl_gene_id"	"external_gene_id"	"description"
"1791"	"ENSMUSG00000045128"	"Rpl18a"	"ribosomal protein L18A [Source:MGI Symbol;Acc:MGI:1924058]"
"1792"	"ENSMUSG00000045179"	"Sox3"	"SRY-box containing gene 3 [Source:MGI Symbol;Acc:MGI:98365]"
"1793"	"ENSMUSG00000045193"	"Cirbp"	"cold inducible RNA binding protein [Source:MGI Symbol;Acc:MGI:893588]"
"1794"	"ENSMUSG00000045365"	"Rbm15b"	"RNA binding motif protein 15B [Source:MGI Symbol;Acc:MGI:1923598]"
"1795"	"ENSMUSG00000045427"	"Hnrnph2"	"heterogeneous nuclear ribonucleoprotein H2 [Source:MGI Symbol;Acc:MGI:1201779]"
"1796"	"ENSMUSG00000045538"	"Ddx28"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 28 [Source:MGI Symbol;Acc:MGI:1919236]"
"1797"	"ENSMUSG00000045624"	"Esf1"	"ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913830]"
"1798"	"ENSMUSG00000045817"	"Zfp36l2"	"zinc finger protein 36, C3H type-like 2 [Source:MGI Symbol;Acc:MGI:107945]"
"1799"	"ENSMUSG00000045838"	"A430105I19Rik"	"RIKEN cDNA A430105I19 gene [Source:MGI Symbol;Acc:MGI:2685199]"
"1800"	"ENSMUSG00000045917"	"6330416G13Rik"	"RIKEN cDNA 6330416G13 gene [Source:MGI Symbol;Acc:MGI:1913920]"
"1801"	"ENSMUSG00000045932"	"Ifit2"	"interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]"
"1802"	"ENSMUSG00000045948"	"Mrps12"	"mitochondrial ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:1346333]"
"1803"	"ENSMUSG00000045962"	"Wnk1"	"WNK lysine deficient protein kinase 1 [Source:MGI Symbol;Acc:MGI:2442092]"
"1804"	"ENSMUSG00000045983"	"Eif4g1"	"eukaryotic translation initiation factor 4, gamma 1 [Source:MGI Symbol;Acc:MGI:2384784]"
"1805"	"ENSMUSG00000046056"	"Sbsn"	"suprabasin [Source:MGI Symbol;Acc:MGI:2446326]"
"1806"	"ENSMUSG00000046139"	"Patl1"	"protein associated with topoisomerase II homolog 1 (yeast) [Source:MGI Symbol;Acc:MGI:2147679]"
"1807"	"ENSMUSG00000046201"	"Scaf8"	"SR-related CTD-associated factor 8 [Source:MGI Symbol;Acc:MGI:1925212]"
"1808"	"ENSMUSG00000046229"	"Scand1"	"SCAN domain-containing 1 [Source:MGI Symbol;Acc:MGI:1343132]"
"1809"	"ENSMUSG00000046330"	"Rpl37a"	"ribosomal protein L37a [Source:MGI Symbol;Acc:MGI:98068]"
"1810"	"ENSMUSG00000046364"	"Rpl27a"	"ribosomal protein L27A [Source:MGI Symbol;Acc:MGI:1347076]"
"1811"	"ENSMUSG00000046434"	"Hnrnpa1"	"heterogeneous nuclear ribonucleoprotein A1 [Source:MGI Symbol;Acc:MGI:104820]"
"1812"	"ENSMUSG00000046487"	"Mospd4"	"motile sperm domain containing 4 [Source:MGI Symbol;Acc:MGI:1919326]"
"1813"	"ENSMUSG00000046620"	"Rps11-ps4"	"ribosomal protein S11, pseudogene 4 [Source:MGI Symbol;Acc:MGI:3704389]"
"1814"	"ENSMUSG00000046667"	"Rbm12b1"	"RNA binding motif protein 12 B1 [Source:MGI Symbol;Acc:MGI:1919647]"
"1815"	"ENSMUSG00000046668"	"Cxxc5"	"CXXC finger 5 [Source:MGI Symbol;Acc:MGI:1914643]"
"1816"	"ENSMUSG00000046691"	"Chtf8"	"CTF8, chromosome transmission fidelity factor 8 [Source:MGI Symbol;Acc:MGI:2443370]"
"1817"	"ENSMUSG00000046711"	"Hmga1"	"high mobility group AT-hook 1 [Source:MGI Symbol;Acc:MGI:96160]"
"1818"	"ENSMUSG00000046718"	"Bst2"	"bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]"
"1819"	"ENSMUSG00000046756"	"Mrps7"	"mitchondrial ribosomal protein S7 [Source:MGI Symbol;Acc:MGI:1354367]"
"1820"	"ENSMUSG00000046792"	"Zfp787"	"zinc finger protein 787 [Source:MGI Symbol;Acc:MGI:1914359]"
"1821"	"ENSMUSG00000046841"	"Ckap4"	"cytoskeleton-associated protein 4 [Source:MGI Symbol;Acc:MGI:2444926]"
"1822"	"ENSMUSG00000046865"	"Fbl"	"fibrillarin [Source:MGI Symbol;Acc:MGI:95486]"
"1823"	"ENSMUSG00000046909"	"Tefm"	"transcription elongation factor, mitochondrial [Source:MGI Symbol;Acc:MGI:1915800]"
"1824"	"ENSMUSG00000046934"	"Csl"	"citrate synthase like [Source:MGI Symbol;Acc:MGI:1919082]"
"1825"	"ENSMUSG00000046994"	"Mars2"	"methionine-tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:2444136]"
"1826"	"ENSMUSG00000047021"	"Ccdc108"	"coiled-coil domain containing 108 [Source:MGI Symbol;Acc:MGI:2444274]"
"1827"	"ENSMUSG00000047084"	"Ngrn"	"neugrin, neurite outgrowth associated [Source:MGI Symbol;Acc:MGI:1933212]"
"1828"	"ENSMUSG00000047104"	"Pbp2"	"phosphatidylethanolamine binding protein 2 [Source:MGI Symbol;Acc:MGI:1923650]"
"1829"	"ENSMUSG00000047126"	"Cltc"	"clathrin, heavy polypeptide (Hc) [Source:MGI Symbol;Acc:MGI:2388633]"
"1830"	"ENSMUSG00000047187"	"Rab2a"	"RAB2A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1928750]"
"1831"	"ENSMUSG00000047193"	"Dync2h1"	"dynein cytoplasmic 2 heavy chain 1 [Source:MGI Symbol;Acc:MGI:107736]"
"1832"	"ENSMUSG00000047213"	"Ythdf3"	"YTH domain family 3 [Source:MGI Symbol;Acc:MGI:1918850]"
"1833"	"ENSMUSG00000047215"	"Rpl9"	"ribosomal protein L9 [Source:MGI Symbol;Acc:MGI:1298373]"
"1834"	"ENSMUSG00000047371"	"Zfp768"	"zinc finger protein 768 [Source:MGI Symbol;Acc:MGI:2384582]"
"1835"	"ENSMUSG00000047423"	"AI837181"	"expressed sequence AI837181 [Source:MGI Symbol;Acc:MGI:2147598]"
"1836"	"ENSMUSG00000047459"	"Dynlrb1"	"dynein light chain roadblock-type 1 [Source:MGI Symbol;Acc:MGI:1914318]"
"1837"	"ENSMUSG00000047534"	"Mis18bp1"	"MIS18 binding protein 1 [Source:MGI Symbol;Acc:MGI:2145099]"
"1838"	"ENSMUSG00000047613"	"A430005L14Rik"	"RIKEN cDNA A430005L14 gene [Source:MGI Symbol;Acc:MGI:2140680]"
"1839"	"ENSMUSG00000047649"	"Cd3eap"	"CD3E antigen, epsilon polypeptide associated protein [Source:MGI Symbol;Acc:MGI:1917583]"
"1840"	"ENSMUSG00000047656"	"Trpt1"	"tRNA phosphotransferase 1 [Source:MGI Symbol;Acc:MGI:1333115]"
"1841"	"ENSMUSG00000047675"	"Rps8"	"ribosomal protein S8 [Source:MGI Symbol;Acc:MGI:98166]"
"1842"	"ENSMUSG00000047676"	"Rpsa-ps10"	"ribosomal protein SA, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3704228]"
"1843"	"ENSMUSG00000047735"	"Samd9l"	"sterile alpha motif domain containing 9-like [Source:MGI Symbol;Acc:MGI:1343184]"
"1844"	"ENSMUSG00000047749"	"Zc3hav1l"	"zinc finger CCCH-type, antiviral 1-like [Source:MGI Symbol;Acc:MGI:2443387]"
"1845"	"ENSMUSG00000047879"	"Usp14"	"ubiquitin specific peptidase 14 [Source:MGI Symbol;Acc:MGI:1928898]"
"1846"	"ENSMUSG00000047888"	"Tnrc6b"	"trinucleotide repeat containing 6b [Source:MGI Symbol;Acc:MGI:2443730]"
"1847"	"ENSMUSG00000047945"	"Marcksl1"	"MARCKS-like 1 [Source:MGI Symbol;Acc:MGI:97143]"
"1848"	"ENSMUSG00000048000"	"Gigyf2"	"GRB10 interacting GYF protein 2 [Source:MGI Symbol;Acc:MGI:2138584]"
"1849"	"ENSMUSG00000048039"	"Isg20l2"	"interferon stimulated exonuclease gene 20-like 2 [Source:MGI Symbol;Acc:MGI:2140076]"
"1850"	"ENSMUSG00000048040"	"Arxes2"	"adipocyte-related X-chromosome expressed sequence 2 [Source:MGI Symbol;Acc:MGI:1924226]"
"1851"	"ENSMUSG00000048076"	"Arf1"	"ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]"
"1852"	"ENSMUSG00000048109"	"Rbm15"	"RNA binding motif protein 15 [Source:MGI Symbol;Acc:MGI:2443205]"
"1853"	"ENSMUSG00000048164"	"Gm7204"	"predicted pseudogene 7204 [Source:MGI Symbol;Acc:MGI:3645884]"
"1854"	"ENSMUSG00000048222"	"Mfap1b"	"microfibrillar-associated protein 1B [Source:MGI Symbol;Acc:MGI:3694697]"
"1855"	"ENSMUSG00000048271"	"Rbm33"	"RNA binding motif protein 33 [Source:MGI Symbol;Acc:MGI:1919670]"
"1856"	"ENSMUSG00000048334"	"Gm8258"	"predicted gene 8258 [Source:MGI Symbol;Acc:MGI:3644429]"
"1857"	"ENSMUSG00000048355"	"Arxes1"	"adipocyte-related X-chromosome expressed sequence 1 [Source:MGI Symbol;Acc:MGI:1923469]"
"1858"	"ENSMUSG00000048439"	"Nupl2"	"nucleoporin like 2 [Source:MGI Symbol;Acc:MGI:2387631]"
"1859"	"ENSMUSG00000048696"	"Mex3d"	"mex3 homolog D (C. elegans) [Source:MGI Symbol;Acc:MGI:2681847]"
"1860"	"ENSMUSG00000048755"	"Mcat"	"malonyl CoA:ACP acyltransferase (mitochondrial) [Source:MGI Symbol;Acc:MGI:2388651]"
"1861"	"ENSMUSG00000048758"	"Rpl29"	"ribosomal protein L29 [Source:MGI Symbol;Acc:MGI:99687]"
"1862"	"ENSMUSG00000048874"	"Phf3"	"PHD finger protein 3 [Source:MGI Symbol;Acc:MGI:2446126]"
"1863"	"ENSMUSG00000048878"	"Hexim1"	"hexamethylene bis-acetamide inducible 1 [Source:MGI Symbol;Acc:MGI:2385923]"
"1864"	"ENSMUSG00000049184"	"Purg"	"purine-rich element binding protein G [Source:MGI Symbol;Acc:MGI:1922279]"
"1865"	"ENSMUSG00000049230"	"Gm9833"	"predicted gene 9833 [Source:MGI Symbol;Acc:MGI:3641855]"
"1866"	"ENSMUSG00000049249"	"Gm5316"	"predicted gene 5316 [Source:MGI Symbol;Acc:MGI:3645576]"
"1867"	"ENSMUSG00000049287"	"Iba57"	"IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:3041174]"
"1868"	"ENSMUSG00000049323"	"Smcr8"	"Smith-Magenis syndrome chromosome region, candidate 8 homolog (human) [Source:MGI Symbol;Acc:MGI:2444720]"
"1869"	"ENSMUSG00000049401"	"Ogfr"	"opioid growth factor receptor [Source:MGI Symbol;Acc:MGI:1919325]"
"1870"	"ENSMUSG00000049516"	"Spty2d1"	"SPT2, Suppressor of Ty, domain containing 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2142062]"
"1871"	"ENSMUSG00000049517"	"Rps23"	"ribosomal protein S23 [Source:MGI Symbol;Acc:MGI:1913725]"
"1872"	"ENSMUSG00000049539"	"Hist1h1a"	"histone cluster 1, H1a [Source:MGI Symbol;Acc:MGI:1931523]"
"1873"	"ENSMUSG00000049553"	"Polr1a"	"polymerase (RNA) I polypeptide A [Source:MGI Symbol;Acc:MGI:1096397]"
"1874"	"ENSMUSG00000049643"	"2310022A10Rik"	"RIKEN cDNA 2310022A10 gene [Source:MGI Symbol;Acc:MGI:1913617]"
"1875"	"ENSMUSG00000049728"	"Zfp668"	"zinc finger protein 668 [Source:MGI Symbol;Acc:MGI:2442943]"
"1876"	"ENSMUSG00000049940"	"Pgrmc2"	"progesterone receptor membrane component 2 [Source:MGI Symbol;Acc:MGI:1918054]"
"1877"	"ENSMUSG00000049957"	"Ccdc137"	"coiled-coil domain containing 137 [Source:MGI Symbol;Acc:MGI:1914541]"
"1878"	"ENSMUSG00000050017"	"Pitpnb"	"phosphatidylinositol transfer protein, beta [Source:MGI Symbol;Acc:MGI:1927542]"
"1879"	"ENSMUSG00000050052"	"Tdrp"	"testis development related protein [Source:MGI Symbol;Acc:MGI:1919398]"
"1880"	"ENSMUSG00000050071"	"Bex1"	"brain expressed gene 1 [Source:MGI Symbol;Acc:MGI:1328321]"
"1881"	"ENSMUSG00000050114"	"Prdx6b"	"peroxiredoxin 6B [Source:MGI Symbol;Acc:MGI:1336888]"
"1882"	"ENSMUSG00000050192"	"Eif5a2"	"eukaryotic translation initiation factor 5A2 [Source:MGI Symbol;Acc:MGI:1933735]"
"1883"	"ENSMUSG00000050213"	"Snip1"	"Smad nuclear interacting protein 1 [Source:MGI Symbol;Acc:MGI:2156003]"
"1884"	"ENSMUSG00000050244"	"Heatr1"	"HEAT repeat containing 1 [Source:MGI Symbol;Acc:MGI:2442524]"
"1885"	"ENSMUSG00000050299"	"Gm9843"	"predicted gene 9843 [Source:MGI Symbol;Acc:MGI:3708621]"
"1886"	"ENSMUSG00000050335"	"Lgals3"	"lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]"
"1887"	"ENSMUSG00000050490"	"Gm8394"	"predicted gene 8394 [Source:MGI Symbol;Acc:MGI:3647964]"
"1888"	"ENSMUSG00000050505"	"Pcdh20"	"protocadherin 20 [Source:MGI Symbol;Acc:MGI:2443376]"
"1889"	"ENSMUSG00000050966"	"Lin28a"	"lin-28 homolog A (C. elegans) [Source:MGI Symbol;Acc:MGI:1890546]"
"1890"	"ENSMUSG00000050978"	"Gm5215"	"predicted gene 5215 [Source:MGI Symbol;Acc:MGI:3644834]"
"1891"	"ENSMUSG00000051048"	"P4ha3"	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]"
"1892"	"ENSMUSG00000051169"	"Rpusd3"	"RNA pseudouridylate synthase domain containing 3 [Source:MGI Symbol;Acc:MGI:2141440]"
"1893"	"ENSMUSG00000051223"	"Bzw1"	"basic leucine zipper and W2 domains 1 [Source:MGI Symbol;Acc:MGI:1914132]"
"1894"	"ENSMUSG00000051306"	"Usp42"	"ubiquitin specific peptidase 42 [Source:MGI Symbol;Acc:MGI:1924050]"
"1895"	"ENSMUSG00000051316"	"Taf7"	"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:MGI Symbol;Acc:MGI:1346348]"
"1896"	"ENSMUSG00000051391"	"Ywhag"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Source:MGI Symbol;Acc:MGI:108109]"
"1897"	"ENSMUSG00000051518"	"Rps19bp1"	"ribosomal protein S19 binding protein 1 [Source:MGI Symbol;Acc:MGI:1913788]"
"1898"	"ENSMUSG00000051550"	"Zfp579"	"zinc finger protein 579 [Source:MGI Symbol;Acc:MGI:1915740]"
"1899"	"ENSMUSG00000051627"	"Hist1h1e"	"histone cluster 1, H1e [Source:MGI Symbol;Acc:MGI:1931527]"
"1900"	"ENSMUSG00000051671"	"Coa6"	"cytochrome c oxidase assembly factor 6 [Source:MGI Symbol;Acc:MGI:1915142]"
"1901"	"ENSMUSG00000051674"	"Dcun1d4"	"DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2140972]"
"1902"	"ENSMUSG00000051695"	"Pcbp1"	"poly(rC) binding protein 1 [Source:MGI Symbol;Acc:MGI:1345635]"
"1903"	"ENSMUSG00000051723"	"Rpl31-ps13"	"ribosomal protein L31, pseudogene 13 [Source:MGI Symbol;Acc:MGI:3809036]"
"1904"	"ENSMUSG00000051768"	"Xrcc1"	"X-ray repair complementing defective repair in Chinese hamster cells 1 [Source:MGI Symbol;Acc:MGI:99137]"
"1905"	"ENSMUSG00000051934"	"Spats2"	"spermatogenesis associated, serine-rich 2 [Source:MGI Symbol;Acc:MGI:1919822]"
"1906"	"ENSMUSG00000051978"	"Erich1"	"glutamate rich 1 [Source:MGI Symbol;Acc:MGI:3588201]"
"1907"	"ENSMUSG00000052105"	"Soga2"	"SOGA family member 2 [Source:MGI Symbol;Acc:MGI:1915867]"
"1908"	"ENSMUSG00000052137"	"Rbm12b2"	"RNA binding motif protein 12 B2 [Source:MGI Symbol;Acc:MGI:1924854]"
"1909"	"ENSMUSG00000052146"	"Rps10"	"ribosomal protein S10 [Source:MGI Symbol;Acc:MGI:1914347]"
"1910"	"ENSMUSG00000052253"	"Zfp622"	"zinc finger protein 622 [Source:MGI Symbol;Acc:MGI:1289282]"
"1911"	"ENSMUSG00000052299"	"Ltn1"	"listerin E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:1926163]"
"1912"	"ENSMUSG00000052305"	"Hbb-bs"	"hemoglobin, beta adult s chain [Source:MGI Symbol;Acc:MGI:5474852]"
"1913"	"ENSMUSG00000052337"	"Immt"	"inner membrane protein, mitochondrial [Source:MGI Symbol;Acc:MGI:1923864]"
"1914"	"ENSMUSG00000052397"	"Ezr"	"ezrin [Source:MGI Symbol;Acc:MGI:98931]"
"1915"	"ENSMUSG00000052406"	"Rexo4"	"REX4, RNA exonuclease 4 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2684957]"
"1916"	"ENSMUSG00000052428"	"Tmco1"	"transmembrane and coiled-coil domains 1 [Source:MGI Symbol;Acc:MGI:1921173]"
"1917"	"ENSMUSG00000052429"	"Prmt1"	"protein arginine N-methyltransferase 1 [Source:MGI Symbol;Acc:MGI:107846]"
"1918"	"ENSMUSG00000052456"	"Asna1"	"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial) [Source:MGI Symbol;Acc:MGI:1928379]"
"1919"	"ENSMUSG00000052488"	"Cherp"	"calcium homeostasis endoplasmic reticulum protein [Source:MGI Symbol;Acc:MGI:106417]"
"1920"	"ENSMUSG00000052551"	"Adarb2"	"adenosine deaminase, RNA-specific, B2 [Source:MGI Symbol;Acc:MGI:2151118]"
"1921"	"ENSMUSG00000052565"	"Hist1h1d"	"histone cluster 1, H1d [Source:MGI Symbol;Acc:MGI:107502]"
"1922"	"ENSMUSG00000052595"	"A1cf"	"APOBEC1 complementation factor [Source:MGI Symbol;Acc:MGI:1917115]"
"1923"	"ENSMUSG00000052684"	"Jun"	"Jun oncogene [Source:MGI Symbol;Acc:MGI:96646]"
"1924"	"ENSMUSG00000052698"	"Tln2"	"talin 2 [Source:MGI Symbol;Acc:MGI:1917799]"
"1925"	"ENSMUSG00000052707"	"Tnrc6a"	"trinucleotide repeat containing 6a [Source:MGI Symbol;Acc:MGI:2385292]"
"1926"	"ENSMUSG00000052738"	"Suclg1"	"succinate-CoA ligase, GDP-forming, alpha subunit [Source:MGI Symbol;Acc:MGI:1927234]"
"1927"	"ENSMUSG00000052751"	"Repin1"	"replication initiator 1 [Source:MGI Symbol;Acc:MGI:1889817]"
"1928"	"ENSMUSG00000052997"	"Uba2"	"ubiquitin-like modifier activating enzyme 2 [Source:MGI Symbol;Acc:MGI:1858313]"
"1929"	"ENSMUSG00000053038"	"Gm6180"	"predicted pseudogene 6180 [Source:MGI Symbol;Acc:MGI:3643972]"
"1930"	"ENSMUSG00000053110"	"Yap1"	"yes-associated protein 1 [Source:MGI Symbol;Acc:MGI:103262]"
"1931"	"ENSMUSG00000053178"	"Gm9897"	"predicted gene 9897 [Source:MGI Symbol;Acc:MGI:3704243]"
"1932"	"ENSMUSG00000053286"	"Trmt1l"	"tRNA methyltransferase 1 like [Source:MGI Symbol;Acc:MGI:1916185]"
"1933"	"ENSMUSG00000053289"	"Ddx10"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 [Source:MGI Symbol;Acc:MGI:1924841]"
"1934"	"ENSMUSG00000053317"	"Sec61b"	"Sec61 beta subunit [Source:MGI Symbol;Acc:MGI:1913462]"
"1935"	"ENSMUSG00000053333"	"Dis3l2"	"DIS3 mitotic control homolog (S. cerevisiae)-like 2 [Source:MGI Symbol;Acc:MGI:2442555]"
"1936"	"ENSMUSG00000053398"	"Phgdh"	"3-phosphoglycerate dehydrogenase [Source:MGI Symbol;Acc:MGI:1355330]"
"1937"	"ENSMUSG00000053510"	"Nrd1"	"nardilysin, N-arginine dibasic convertase, NRD convertase 1 [Source:MGI Symbol;Acc:MGI:1201386]"
"1938"	"ENSMUSG00000053536"	"Cstf2t"	"cleavage stimulation factor, 3' pre-RNA subunit 2, tau [Source:MGI Symbol;Acc:MGI:1932622]"
"1939"	"ENSMUSG00000053553"	"3110082I17Rik"	"RIKEN cDNA 3110082I17 gene [Source:MGI Symbol;Acc:MGI:1920462]"
"1940"	"ENSMUSG00000053565"	"Eif3k"	"eukaryotic translation initiation factor 3, subunit K [Source:MGI Symbol;Acc:MGI:1921080]"
"1941"	"ENSMUSG00000053740"	"Gm6457"	"predicted pseudogene 6457 [Source:MGI Symbol;Acc:MGI:3648519]"
"1942"	"ENSMUSG00000053746"	"Ptrh1"	"peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913779]"
"1943"	"ENSMUSG00000053801"	"Grwd1"	"glutamate-rich WD repeat containing 1 [Source:MGI Symbol;Acc:MGI:2141989]"
"1944"	"ENSMUSG00000053898"	"Ech1"	"enoyl coenzyme A hydratase 1, peroxisomal [Source:MGI Symbol;Acc:MGI:1858208]"
"1945"	"ENSMUSG00000053931"	"Cnn3"	"calponin 3, acidic [Source:MGI Symbol;Acc:MGI:1919244]"
"1946"	"ENSMUSG00000054051"	"Ercc6"	"excision repair cross-complementing rodent repair deficiency, complementation group 6 [Source:MGI Symbol;Acc:MGI:1100494]"
"1947"	"ENSMUSG00000054079"	"Utp18"	"UTP18, small subunit (SSU) processome component, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1923402]"
"1948"	"ENSMUSG00000054203"	"Ifi205"	"interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]"
"1949"	"ENSMUSG00000054256"	"Msi1"	"musashi RNA-binding protein 1 [Source:MGI Symbol;Acc:MGI:107376]"
"1950"	"ENSMUSG00000054312"	"Mrps21"	"mitochondrial ribosomal protein S21 [Source:MGI Symbol;Acc:MGI:1913542]"
"1951"	"ENSMUSG00000054405"	"Dnajc8"	"DnaJ (Hsp40) homolog, subfamily C, member 8 [Source:MGI Symbol;Acc:MGI:1915848]"
"1952"	"ENSMUSG00000054428"	"Atpif1"	"ATPase inhibitory factor 1 [Source:MGI Symbol;Acc:MGI:1196457]"
"1953"	"ENSMUSG00000054582"	"Pabpc1l"	"poly(A) binding protein, cytoplasmic 1-like [Source:MGI Symbol;Acc:MGI:1922908]"
"1954"	"ENSMUSG00000054604"	"Cggbp1"	"CGG triplet repeat binding protein 1 [Source:MGI Symbol;Acc:MGI:2146370]"
"1955"	"ENSMUSG00000054611"	"Kdm2a"	"lysine (K)-specific demethylase 2A [Source:MGI Symbol;Acc:MGI:1354736]"
"1956"	"ENSMUSG00000054612"	"Mgmt"	"O-6-methylguanine-DNA methyltransferase [Source:MGI Symbol;Acc:MGI:96977]"
"1957"	"ENSMUSG00000054619"	"Mettl7a1"	"methyltransferase like 7A1 [Source:MGI Symbol;Acc:MGI:1916523]"
"1958"	"ENSMUSG00000054679"	"Srsf12"	"serine/arginine-rich splicing factor 12 [Source:MGI Symbol;Acc:MGI:2661424]"
"1959"	"ENSMUSG00000054717"	"Hmgb2"	"high mobility group box 2 [Source:MGI Symbol;Acc:MGI:96157]"
"1960"	"ENSMUSG00000054766"	"Set"	"SET nuclear oncogene [Source:MGI Symbol;Acc:MGI:1860267]"
"1961"	"ENSMUSG00000054808"	"Actn4"	"actinin alpha 4 [Source:MGI Symbol;Acc:MGI:1890773]"
"1962"	"ENSMUSG00000054889"	"Dsp"	"desmoplakin [Source:MGI Symbol;Acc:MGI:109611]"
"1963"	"ENSMUSG00000054932"	"Afp"	"alpha fetoprotein [Source:MGI Symbol;Acc:MGI:87951]"
"1964"	"ENSMUSG00000055024"	"Ep300"	"E1A binding protein p300 [Source:MGI Symbol;Acc:MGI:1276116]"
"1965"	"ENSMUSG00000055044"	"Pdlim1"	"PDZ and LIM domain 1 (elfin) [Source:MGI Symbol;Acc:MGI:1860611]"
"1966"	"ENSMUSG00000055065"	"Ddx17"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 [Source:MGI Symbol;Acc:MGI:1914290]"
"1967"	"ENSMUSG00000055204"	"Ankrd17"	"ankyrin repeat domain 17 [Source:MGI Symbol;Acc:MGI:1932101]"
"1968"	"ENSMUSG00000055319"	"Sec23ip"	"Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915]"
"1969"	"ENSMUSG00000055322"	"Tns1"	"tensin 1 [Source:MGI Symbol;Acc:MGI:104552]"
"1970"	"ENSMUSG00000055436"	"Srsf11"	"serine/arginine-rich splicing factor 11 [Source:MGI Symbol;Acc:MGI:1916457]"
"1971"	"ENSMUSG00000055491"	"Pprc1"	"peroxisome proliferative activated receptor, gamma, coactivator-related 1 [Source:MGI Symbol;Acc:MGI:2385096]"
"1972"	"ENSMUSG00000055531"	"Cpsf6"	"cleavage and polyadenylation specific factor 6 [Source:MGI Symbol;Acc:MGI:1913948]"
"1973"	"ENSMUSG00000055538"	"Zcchc24"	"zinc finger, CCHC domain containing 24 [Source:MGI Symbol;Acc:MGI:1919168]"
"1974"	"ENSMUSG00000055676"	"Gm5069"	"predicted pseudogene 5069 [Source:MGI Symbol;Acc:MGI:3644516]"
"1975"	"ENSMUSG00000055762"	"Eef1d"	"eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) [Source:MGI Symbol;Acc:MGI:1913906]"
"1976"	"ENSMUSG00000055795"	"Gm5160"	"predicted gene 5160 [Source:MGI Symbol;Acc:MGI:3648528]"
"1977"	"ENSMUSG00000055917"	"Zfp277"	"zinc finger protein 277 [Source:MGI Symbol;Acc:MGI:1890393]"
"1978"	"ENSMUSG00000056054"	"S100a8"	"S100 calcium binding protein A8 (calgranulin A) [Source:MGI Symbol;Acc:MGI:88244]"
"1979"	"ENSMUSG00000056071"	"S100a9"	"S100 calcium binding protein A9 (calgranulin B) [Source:MGI Symbol;Acc:MGI:1338947]"
"1980"	"ENSMUSG00000056076"	"Eif3b"	"eukaryotic translation initiation factor 3, subunit B [Source:MGI Symbol;Acc:MGI:106478]"
"1981"	"ENSMUSG00000056209"	"Npm3"	"nucleoplasmin 3 [Source:MGI Symbol;Acc:MGI:894653]"
"1982"	"ENSMUSG00000056211"	"R3hdm1"	"R3H domain containing 1 [Source:MGI Symbol;Acc:MGI:2448514]"
"1983"	"ENSMUSG00000056305"	"Usp39"	"ubiquitin specific peptidase 39 [Source:MGI Symbol;Acc:MGI:107622]"
"1984"	"ENSMUSG00000056487"	"Mettl7a2"	"methyltransferase like 7A2 [Source:MGI Symbol;Acc:MGI:3026615]"
"1985"	"ENSMUSG00000056643"	"Chst13"	"carbohydrate (chondroitin 4) sulfotransferase 13 [Source:MGI Symbol;Acc:MGI:1919047]"
"1986"	"ENSMUSG00000056758"	"Hmga2"	"high mobility group AT-hook 2 [Source:MGI Symbol;Acc:MGI:101761]"
"1987"	"ENSMUSG00000056820"	"Tsnax"	"translin-associated factor X [Source:MGI Symbol;Acc:MGI:1855672]"
"1988"	"ENSMUSG00000056851"	"Pcbp2"	"poly(rC) binding protein 2 [Source:MGI Symbol;Acc:MGI:108202]"
"1989"	"ENSMUSG00000057069"	"Ero1lb"	"ERO1-like beta (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914725]"
