"ENSEMBL","GENENAME","DESCRIPTION","EXP"
"4019","YFL005W","SEC4","Rab family GTPase; essential for vesicle-mediated exocytic secretion and autophagy; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane",NA
"4020","YFL009W","CDC4","F-box protein required for both the G1/S and G2/M phase transitions; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCFCdc4 complex; SCFCdc4 acts as a ubiquitin-protein ligase directing ubiquitination of cyclin-dependent kinase (CDK) phosphorylated substrates, such as: Sic1p, Far1p, Cdc6p, Clb6p, and Cln3p",NA
"4021","YFL010W-A","AUA1","Protein required for the negative regulation by ammonia of Gap1p; Gap1p is a general amino acid permease",NA
"4022","YFL011W","HXT10","Putative hexose transporter; expressed at low levels and expression is repressed by glucose",NA
"4023","YFL012W",NA,"Putative protein of unknown function; transcribed during sporulation; null mutant exhibits increased resistance to rapamycin",NA
"4024","YFL013W-A",NA,NA,NA
"4025","YFL015C",NA,NA,NA
"4026","YFL019C",NA,NA,NA
"4027","YFL020C","PAU7","Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme",NA
"4028","YFL020C","PAU5","Member of the seripauperin multigene family; encoded mainly in subtelomeric regions; induced during alcoholic fermentation; induced by low temperature and also by anaerobic conditions; negatively regulated by oxygen and repressed by heme",NA
"4029","YFL025C","BST1","GPI inositol deacylase of the endoplasmic reticulum (ER); negatively regulates COPII vesicle formation; prevents production of vesicles with defective subunits; required for proper discrimination between resident ER proteins and Golgi-bound cargo molecules; functional ortholog of human PGAP1, mutation of which is associated with intellectual disability and encephalopathy",NA
"4030","YFL026W","STE2","Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells",NA
"4031","YFL029C","CAK1","Cyclin-dependent kinase-activating kinase; required for passage through the cell cycle; phosphorylates and activates Cdc28p; nucleotide-binding pocket differs significantly from those of most other protein kinases",NA
"4032","YFL032W",NA,NA,NA
"4033","YFL033C","RIM15","Protein kinase involved in cell proliferation in response to nutrients; glucose-repressible; involved in signal transduction during cell proliferation in response to nutrients, specifically the establishment of stationary phase; identified as a regulator of IME2; phosphorylates Igo1p and Igo2p; substrate of Pho80p-Pho85p kinase",NA
"4034","YFL037W","TUB2","Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules; mutation in human ortholog is associated with congenital fibrosis of the extraocular muscles (CFEOM) with polymicrogyria",NA
"4035","YFL038C","YPT1","Rab family GTPase; involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p); binds to unspliced HAC1 mRNA; regulates unfolded protein response (UPR) by promoting the decay of HAC1 RNA",NA
"4036","YFL040W",NA,"Putative transporter; member of the sugar porter family; YFL040W is not an essential gene",NA
"4037","YFL042C",NA,"Putative protein of unknown function; not an essential gene; YFL042C has a paralog, YLR072W, that arose from the whole genome duplication",NA
"4038","YFL043C",NA,NA,NA
"4039","YFL046W","FMP32","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",NA
"4040","YFL051C",NA,"Putative protein of unknown function; YFL051C is not an essential gene",NA
"4041","YFL052W",NA,"Putative zinc cluster protein that contains a DNA binding domain; computational analysis suggests a role as a transcription factor; null mutant is sensitive to Calcofluor White, low osmolarity, and heat, suggesting a role for YFL052Wp in cell wall integrity",NA
"4042","YFL053W","DAK2","Dihydroxyacetone kinase; required for detoxification of dihydroxyacetone (DHA); involved in stress adaptation",NA
"4043","YFL054C",NA,"Putative channel-like protein; similar to Fps1p; mediates passive diffusion of glycerol in the presence of ethanol",NA
"4044","YFL055W","AGP3","Low-affinity amino acid permease; may act to supply the cell with amino acids as nitrogen source in nitrogen-poor conditions; transcription is induced under conditions of sulfur limitation; plays a role in regulating Ty1 transposition",NA
"4045","YFL056C","AAD6","Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; ORFs AAD6/YFL056C and AAD16/YFL057C are displaced from one another by -1 frameshift; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family; expression induced in cells treated with the mycotoxin patulin",NA
"4046","YFL057C","AAD16","Putative aryl alcohol dehydrogenase; similar to Phanerochaete chrysosporium aryl alcohol dehydrogenase; ORFs AAD6/YFL056C and AAD16/YFL057C are displaced from one another by -1 frameshift; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family",NA
"4047","YFL058W","THI5","Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP",NA
"4048","YFL059W","SNZ3","Member of a stationary phase-induced gene family; expressed in the presence of galactose; transcription of SNZ3 is induced prior to diauxic shift, and also in the absence of thiamin in a Thi2p-dependent manner; forms a coregulated gene pair with SNO3",NA
"4049","YFL061W","DDI3","Protein of unknown function; expression is induced over 100-fold by DNA damage; induction decreased in rad6 and rad18 mutants",NA
"4050","YFL061W","DDI2","Protein of unknown function; expression is induced over 100-fold by DNA damage; induction decreased in rad6 and rad18 mutants",NA
"4051","YFL062W","COS4","Protein of unknown function; member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins",NA
"4052","YFL063W",NA,NA,NA
"4053","YFL064C",NA,"Putative protein of unknown function",NA
"4054","YFL065C",NA,"Putative protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation",NA
"4055","YFL066C",NA,"Helicase-like protein encoded within the telomeric Y' element; induced by treatment with 8-methoxypsoralen and UVA irradiation",NA
"4056","YFL067W",NA,"Protein of unknown function; down-regulated at low calcium levels",NA
"4057","YFL068W",NA,"Putative protein of unknown function",NA
"4058","YFR006W",NA,"Putative X-Pro aminopeptidase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YFR006W is not an essential gene",NA
"4059","YFR012W","DCV1","Protein of unknown function; deletion mutant shows strong genetic interaction with cdc28-as1 mutant in the presence of 1-NM-PP1; DCV1 has a paralog, YOL019W, that arose from the whole genome duplication",NA
"4060","YFR012W-A",NA,"Putative protein of unknown function; identified by homology",NA
"4061","YFR020W",NA,NA,NA
"4062","YFR022W","ROG3","alpha-arrestin family member; contributes to desensitization of agonist-occupied alpha-factor receptor Ste2p by Rsp5p-independent internalization and to recovery from pheromone induced G1 arrest; binds the ubiquitin ligase Rsp5p via its 2 PY motifs; mutation suppresses the temperature sensitivity of an mck1 rim11 double mutant; ROG3 has a paralog, ROD1, that arose from the whole genome duplication",NA
"4063","YFR023W","PES4","Poly(A) binding protein, suppressor of DNA polymerase epsilon mutation; PES4 has a paralog, MIP6, that arose from the whole genome duplication",NA
"4064","YFR027W","ECO1","Acetyltransferase; required for establishment of sister chromatid cohesion; acetylates Mps3p to regulate nuclear organization; modifies Smc3p at replication forks and Mcd1p in response to dsDNA breaks; phosphorylated by three kinases (Cdc28p, Cdc7p, Mck1p) to generate pair of phosphates spaced precisely for recognition by ubiquitin ligase SCF-Cdc4; mutations in human homolog ESCO2 cause Roberts syndrome; relative distribution to nucleus increases upon DNA replication stress",NA
"4065","YFR029W","PTR3","Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p, Ptr3p, and Ssy5p",NA
"4066","YFR032C","RRT5","Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; expressed at high levels during sporulation",NA
"4067","YFR035C",NA,"Putative protein of unknown function; deletion mutant exhibits synthetic phenotype with alpha-synuclein",NA
"4068","YFR036W","CDC26","Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; relocalizes to the cytosol in response to hypoxia",NA
"4069","YFR038W","IRC5","Putative ATPase containing the DEAD/H helicase-related sequence motif; null mutant displays increased levels of spontaneous Rad52p foci",NA
"4070","YFR041C","ERJ5","Type I membrane protein with a J domain; required to preserve the folding capacity of the endoplasmic reticulum; loss of the non-essential ERJ5 gene leads to a constitutively induced unfolded protein response",NA
"4071","YFR042W","KEG1","Integral membrane protein of the ER; physically interacts with Kre6p; has a role in the synthesis of beta-1,6-glucan in the cell wall; required for cell viability",NA
"4072","YFR043C","IRC6","Putative protein of unknown function; null mutant displays increased levels of spontaneous Rad52p foci",NA
"4073","YFR045W",NA,"Putative mitochondrial transport protein; null mutant is viable, exhibits decreased levels of chitin and normal resistance to calcofluor white",NA
"4074","YFR056C",NA,NA,NA
"4075","YFR057W",NA,"Putative protein of unknown function",NA
"4076","YGL002W","ERP6","Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; ERP6 has a paralog, ERP1, that arose from the whole genome duplication",NA
"4077","YGL003C","CDH1","Activator of anaphase-promoting complex/cyclosome (APC/C); cell-cycle regulated; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p",NA
"4078","YGL007W",NA,NA,NA
"4079","YGL015C",NA,"Putative protein of unknown function; null mutants accumulate cargo in the Golgi",NA
"4080","YGL023C","PIB2","Protein of unknown function; contains FYVE domain; similar to Fab1 and Vps27",NA
"4081","YGL024W",NA,NA,NA
"4082","YGL033W","HOP2","Meiosis-specific protein that localizes to chromosomes;preventing synapsis between nonhomologous chromosomes and ensuring synapsis between homologs; complexes with Mnd1p to promote homolog pairing and meiotic double-strand break repair; contains a second intron at the 3' end (in SK1 strain background); heterodimer of Hop2p-Mnd1p stimulates the activity of Dmc1p",NA
"4083","YGL034C",NA,NA,NA
"4084","YGL041C",NA,NA,NA
"4085","YGL042C",NA,NA,NA
"4086","YGL051W","MST27","Putative integral membrane protein, involved in vesicle formation; forms complex with Mst28p; member of DUP240 gene family; binds COPI and COPII vesicles; MST27 has a paralog, MST28, that arose from a segmental duplication",NA
"4087","YGL052W",NA,NA,NA
"4088","YGL055W","OLE1","Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria",NA
"4089","YGL057C","GEP7","Protein of unknown function; null mutant exhibits a respiratory growth defect and synthetic interactions with prohibitin (phb1) and gem1; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",NA
"4090","YGL063W","PUS2","Mitochondrial tRNA:pseudouridine synthase; acts at positions 27 and 28, but not at position 72; efficiently and rapidly targeted to mitochondria, specifically dedicated to mitochondrial tRNA modification; mutation also affects pseudouridylation of some nuclear-encoded mRNAs; PUS2 has a paralog, PUS1, that arose from the whole genome duplication",NA
"4091","YGL069C",NA,NA,NA
"4092","YGL072C",NA,NA,NA
"4093","YGL073W","HSF1","Trimeric heat shock transcription factor; activates multiple genes in response to highly diverse stresses, including hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; monitors translational status of cell at the ribosome through an RQC (Ribosomal Quality Control)-mediated translation-stress signal; involved in diauxic shift; posttranslationally regulated",NA
"4094","YGL074C",NA,NA,NA
"4095","YGL075C","MPS2","Essential membrane protein localized at nuclear envelope and SPBs; required for insertion of the newly duplicated spindle pole body into the nuclear envelope; potentially phosphorylated by Cdc28p; MPS2 has a paralog, CSM4, that arose from the whole genome duplication",NA
"4096","YGL077C","HNM1","Plasma membrane transporter for choline, ethanolamine, and carnitine; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol",NA
"4097","YGL081W",NA,"Putative protein of unknown function; non-essential gene; interacts genetically with CHS5, a gene involved in chitin biosynthesis",NA
"4098","YGL088W",NA,NA,NA
"4099","YGL089C","MF(ALPHA)2","Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed; MF(ALPHA)2 has a paralog, MF(ALPHA)1, that arose from the whole genome duplication",NA
"4100","YGL091C","NBP35","Essential cytoplasmic iron-sulfur cluster binding protein; forms a complex with Cfd1p that is involved in iron-sulfur protein assembly in the cytosol; similar to P-loop NTPases",NA
"4101","YGL093W","SPC105","Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation",NA
"4102","YGL096W","TOS8","Homeodomain-containing protein and putative transcription factor; found associated with chromatin; target of SBF transcription factor; induced during meiosis and under cell-damaging conditions; TOS8 has a paralog, CUP9, that arose from the whole genome duplication",NA
"4103","YGL102C",NA,NA,NA
"4104","YGL104C","VPS73","Mitochondrial protein; mutation affects vacuolar protein sorting; putative transporter; member of the sugar porter family; VPS73 has a paralog, YBR241C, that arose from the whole genome duplication",NA
"4105","YGL106W","MLC1","Essential light chain for Myo1p; light chain for Myo2p; stabilizes Myo2p by binding to the neck region; interacts with Myo1p, Iqg1p, and Myo2p to coordinate formation and contraction of the actomyosin ring with targeted membrane deposition",NA
"4106","YGL109W",NA,NA,NA
"4107","YGL114W",NA,"Putative protein of unknown function; predicted member of the oligopeptide transporter (OPT) family of membrane transporters",NA
"4108","YGL116W","CDC20","Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress",NA
"4109","YGL118C",NA,NA,NA
"4110","YGL121C","GPG1","Proposed gamma subunit of the heterotrimeric G protein; interacts with the receptor Gpr1p; involved in regulation of pseudohyphal growth; requires Gpb1p or Gpb2p to interact with Gpa2p; overproduction causes prion curing",NA
"4111","YGL124C","MON1","Protein required for cvt-vesicle/autophagosome fusion with the vacuole; associates, as a complex with Ccz1p, with a perivacuolar compartment; potential Cdc28p substrate",NA
"4112","YGL128C","CWC23","Component of a complex containing Cef1p; putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p",NA
"4113","YGL131C","SNT2","Subunit of Snt2C complex, RING finger ubiquitin ligase (E3); physically associates with Ecm5p and Rpd3p; along with Ecm5p, recruits Rpd3p to small number of promoters; colocalizes with Ecm5p, independently of Rpd3p, to promoters of stress response genes upon oxidative stress; involved in ubiquitylation, degradation of excess histones; interacts with Ubc4p; role in regulating genes encoding amine transporters; relocalizes from nucleus to cytoplasm upon DNA replication stress",NA
"4114","YGL132W",NA,NA,NA
"4115","YGL136C","MRM2","Mitochondrial 2' O-ribose methyltransferase; required for methylation of U(2791) in 21S rRNA; MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA; has similarity to Spb1p and Trm7p, and to E. coli FtsJ/RrmJ",NA
"4116","YGL138C",NA,"Putative protein of unknown function; has no significant sequence similarity to any known protein",NA
"4117","YGL139W","FLC3","Putative FAD transporter, similar to Flc1p and Flc2p; localized to the ER; FLC3 has a paralog, FLC1, that arose from the whole genome duplication",NA
"4118","YGL142C","GPI10","Integral membrane protein involved in GPI anchor synthesis; putative alpha 1,2 mannosyltransferase required for addition of the third mannose onto the glycosylphosphatidylinositol (GPI) core structure; human PIG-Bp is a functional homolog",NA
"4119","YGL144C","ROG1","Protein with putative serine active lipase domain; ROG1 has a paralog, YDL109C, that arose from the whole genome duplication",NA
"4120","YGL146C","RRT6","Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; contains two putative transmembrane spans, but no significant homology to other known proteins",NA
"4121","YGL149W",NA,NA,NA
"4122","YGL152C",NA,NA,NA
"4123","YGL158W","RCK1","Protein kinase involved in the response to oxidative stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; RCK1 has a paralog, RCK2, that arose from the whole genome duplication",NA
"4124","YGL160W","AIM14","NADPH oxidase localized to the perinuclear ER; produces superoxide from NADPH; overexpression causes MCA1 dependent apoptosis; likely involved in superoxide-mediated regulation of the actin cytoskeleton; member of a conserved superfamily of NADPH oxidases (NOX enzymes); has similarity to iron/copper reductases (FRE1-8), particularly Fre8p",NA
"4125","YGL163C","RAD54","DNA-dependent ATPase that stimulates strand exchange; modifies the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family of DNA translocases; forms nuclear foci upon DNA replication stress",NA
"4126","YGL165C",NA,NA,NA
"4127","YGL168W","HUR1","Protein of unknown function; reported null mutant phenotype of hydroxyurea sensitivity may be due to effects on overlapping PMR1 gene",NA
"4128","YGL170C","SPO74","Component of the meiotic outer plaque of the spindle pole body; involved in modifying the meiotic outer plaque that is required prior to prospore membrane formation",NA
"4129","YGL171W","ROK1","RNA-dependent ATPase; involved in pre-rRNA processing at sites A0, A1, and A2, and in control of cell cycle progression; contains two upstream open reading frames (uORFs) in 5' untranslated region which regulate translation",NA
"4130","YGL174W","BUD13","Subunit of the RES complex; RES complex is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern due to a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids",NA
"4131","YGL176C",NA,"Putative protein of unknown function; deletion mutant is viable and has no detectable phenotype",NA
"4132","YGL177W",NA,NA,NA
"4133","YGL179C","TOS3","Protein kinase; related to and functionally redundant with Elm1p and Sak1p for the phosphorylation and activation of Snf1p; functionally orthologous to LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; TOS3 has a paralog, SAK1, that arose from the whole genome duplication",NA
"4134","YGL182C",NA,NA,NA
"4135","YGL183C","MND1","Protein required for recombination and meiotic nuclear division; forms a complex with Hop2p, which is involved in chromosome pairing and repair of meiotic double-strand breaks",NA
"4136","YGL184C","STR3","Peroxisomal cystathionine beta-lyase; converts cystathionine into homocysteine; may be redox regulated by Gto1p; involved in the release of the aromatic thiol 3-mercaptohexanol during wine fermentation",NA
"4137","YGL186C","TPN1","Plasma membrane pyridoxine (vitamin B6) transporter; member of the purine-cytosine permease subfamily within the major facilitator superfamily; proton symporter with similarity to Fcy21p, Fcy2p, and Fcy22p",NA
"4138","YGL188C",NA,NA,NA
"4139","YGL191W","COX13","Subunit VIa of cytochrome c oxidase; present in a subclass of cytochrome c oxidase complexes that may have a role in mimimizing generation of reactive oxygen species; not essential for cytochrome c oxidase activity but may modulate activity in response to ATP; required for assembly of Rcf2p into cytochrome c oxidase - cytochrome bc1 supercomplexes",NA
"4140","YGL192W","IME4","mRNA N6-adenosine methyltransferase required for entry into meiosis; mediates N6-adenosine methylation of bulk mRNA during the induction of sporulation which includes the meiotic regulators IME1, IME2 and IME4 itself; repressed in haploids via production of antisense IME4 transcripts; transcribed in diploid cells where antisense transcription is repressed; orthologous to human METTL3 (MT-A70)",NA
"4141","YGL193C",NA,"Haploid-specific gene repressed by a1-alpha2; turned off in sir3 null strains, absence enhances the sensitivity of rad52-327 cells to campothecin almost 100-fold",NA
"4142","YGL196W","DSD1","D-serine dehydratase (aka D-serine ammonia-lyase); converts D-serine to pyruvate and ammonia by a reaction dependent on pyridoxal 5'-phosphate and zinc; may play a role in D-serine detoxification; L-serine is not a substrate",NA
"4143","YGL198W","YIP4","Protein that interacts with Rab GTPases; localized to late Golgi vesicles; computational analysis of large-scale protein-protein interaction data suggests a possible role in vesicle-mediated transport",NA
"4144","YGL199C",NA,NA,NA
"4145","YGL204C",NA,NA,NA
"4146","YGL205W","POX1","Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix",NA
"4147","YGL211W","NCS6","Protein required for uridine thiolation of Gln, Lys, and Glu tRNAs; required for the thiolation of uridine at the wobble position of Gln, Lys, and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae",NA
"4148","YGL214W",NA,NA,NA
"4149","YGL215W","CLG1","Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2",NA
"4150","YGL217C",NA,NA,NA
"4151","YGL218W",NA,NA,NA
"4152","YGL222C","EDC1","RNA-binding protein that activates mRNA decapping directly; binds to mRNA substrate and enhances activity of decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; EDC1 has a paralog, EDC2, that arose from the whole genome duplication",NA
"4153","YGL224C","SDT1","Pyrimidine nucleotidase; responsible for production of nicotinamide riboside and nicotinic acid riboside; overexpression suppresses the 6-AU sensitivity of transcription elongation factor S-II, as well as resistance to other pyrimidine derivatives; SDT1 has a paralog, PHM8, that arose from the whole genome duplication",NA
"4154","YGL230C",NA,"Putative protein of unknown function; non-essential gene",NA
"4155","YGL235W",NA,"Putative protein of unknown function; potential Cdc28p substrate; null mutant displays increased resistance to antifungal agents gliotoxin, cycloheximide and H2O2",NA
"4156","YGL236C","MTO1","Mitochondrial protein; forms a heterodimer complex with Mss1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants",NA
"4157","YGL237C","HAP2","Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding",NA
"4158","YGL239C",NA,NA,NA
"4159","YGL242C",NA,"Protein of unknown function; N-terminally propionylated in vivo; deletion mutant is viable",NA
"4160","YGL243W","TAD1","tRNA-specific adenosine deaminase; deaminates adenosine-37 to inosine in tRNA-Ala",NA
"4161","YGL249W","ZIP2","Meiosis-specific protein; involved in normal synaptonemal complex formation and pairing between homologous chromosomes during meiosis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress",NA
"4162","YGL251C","HFM1","Meiosis specific DNA helicase; involved in the conversion of double-stranded breaks to later recombination intermediates and in crossover control; catalyzes the unwinding of Holliday junctions; has ssDNA and dsDNA stimulated ATPase activity",NA
"4163","YGL255W","ZRT1","High-affinity zinc transporter of the plasma membrane; responsible for the majority of zinc uptake; transcription is induced under low-zinc conditions by the Zap1p transcription factor",NA
"4164","YGL258W","VEL1","Protein of unknown function; highly induced in zinc-depleted conditions and has increased expression in NAP1 deletion mutants; VEL1 has a paralog, YOR387C, that arose from a single-locus duplication",NA
"4165","YGL258W-A",NA,"Putative protein of unknown function",NA
"4166","YGL259W","YPS5","Protein with similarity to GPI-anchored aspartic proteases; such proteases are Yap1p and Yap3p",NA
"4167","YGL260W",NA,"Putative protein of unknown function; transcription is significantly increased in a NAP1 deletion background; deletion mutant has increased accumulation of nickel and selenium",NA
"4168","YGL261C","PAU8","Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions",NA
"4169","YGL261C","PAU9","Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions",NA
"4170","YGL261C","PAU11","Putative protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; mRNA expression appears to be regulated by SUT1 and UPC2",NA
"4171","YGL262W",NA,"Putative protein of unknown function; null mutant displays elevated sensitivity to expression of a mutant huntingtin fragment or of alpha-synuclein; YGL262W is not an essential gene",NA
"4172","YGL263W","COS12","Protein of unknown function; member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins",NA
"4173","YGR006W","PRP18","Splicing factor and component of snRNP U5; factor involved in the positioning of the 3' splice site during the second catalytic step of splicing; interacts with Slu7p",NA
"4174","YGR009C","SEC9","t-SNARE protein required for secretory vesicle-plasma membrane fusion; similar to but not functionally redundant with Spo20p; interacts non-exocyst bound Sec6p; SNAP-25 homolog",NA
"4175","YGR011W",NA,NA,NA
"4176","YGR015C",NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion",NA
"4177","YGR018C",NA,NA,NA
"4178","YGR022C",NA,NA,NA
"4179","YGR023W","MTL1","Putative plasma membrane sensor; involved in cell integrity signaling and stress response during glucose starvation and oxidative stress; has structural and functional similarity to Mid2p; MTL1 has a paralog, MID2, that arose from the whole genome duplication",NA
"4180","YGR025W",NA,NA,NA
"4181","YGR026W",NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery",NA
"4182","YGR029W","ERV1","Flavin-linked sulfhydryl oxidase of the mitochondrial IMS; N-terminus is an intrinsically disordered domain that in the cytosol helps target Erv1p to mitochondria, and in the intermembrane space oxidizes Mia40p as part of a disulfide relay system that promotes intermembrane space retention of imported proteins; functional ortholog of human GFER (ALR)",NA
"4183","YGR032W","GSC2","Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog, FKS1, that arose from the whole genome duplication",NA
"4184","YGR035C",NA,"Putative protein of unknown function, potential Cdc28p substrate; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; YGR035C has a paralog, YLR346C, that arose from the whole genome duplication",NA
"4185","YGR036C","CAX4","Dolichyl pyrophosphate (Dol-P-P) phosphatase; has a luminally oriented active site in the ER; cleaves the anhydride linkage in Dol-P-P; required for Dol-P-P-linked oligosaccharide intermediate synthesis and protein N-glycosylation",NA
"4186","YGR039W",NA,NA,NA
"4187","YGR042W",NA,"Protein of unknown function; involved in maintenance of proper telomere length; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus; forms nuclear foci upon DNA replication stress",NA
"4188","YGR045C",NA,NA,NA
"4189","YGR050C",NA,NA,NA
"4190","YGR051C",NA,NA,NA
"4191","YGR053C",NA,"Putative protein of unknown function",NA
"4192","YGR055W","MUP1","High affinity methionine permease; integral membrane protein with 13 putative membrane-spanning regions; also involved in cysteine uptake",NA
"4193","YGR059W","SPR3","Sporulation-specific homolog of the CDC3/10/11/12 family of genes; septin protein involved in sporulation; regulated by ABFI; the yeast CDC3/10/11/12 family is a family of bud neck microfilament genes",NA
"4194","YGR064W",NA,NA,NA
"4195","YGR065C","VHT1","High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin",NA
"4196","YGR066C",NA,"Putative protein of unknown function",NA
"4197","YGR067C",NA,"Putative protein of unknown function; contains a zinc finger motif similar to that of Adr1p",NA
"4198","YGR069W",NA,NA,NA
"4199","YGR070W","ROM1","GDP/GTP exchange protein (GEP) for Rho1p; mutations are synthetically lethal with mutations in rom2, which also encodes a GEP; ROM1 has a paralog, ROM2, that arose from the whole genome duplication",NA
"4200","YGR073C",NA,NA,NA
"4201","YGR079W",NA,"Putative protein of unknown function; YGR079W is not an essential gene",NA
"4202","YGR096W","TPC1","Mitochondrial membrane transporter; mediates uptake of the essential cofactor thiamine pyrophosphate (ThPP) into mitochondria; expression appears to be regulated by carbon source; member of the mitochondrial carrier family",NA
"4203","YGR097W","ASK10","Component of RNA polymerase II holoenzyme; phosphorylated in response to oxidative stress; has a role in destruction of Ssn8p; proposed to function in activation of the glycerol channel Fps1p; ASK10 has a paralog, RGC1, that arose from the whole genome duplication",NA
